,uid,issue,pull,push,star,repo,name,year,quarter,norm_issue,norm_pull,norm_push,norm_star,norm_use
0,JavaScript__2012__2,29168.0,15246.0,98729.0,118009.0,0.0,JavaScript,2012,2,1.0,0.8997875354107648,1.0,1.0,0.9749468838526912
1,Ruby__2012__2,21053.0,16944.0,87701.0,67773.0,0.0,Ruby,2012,2,0.7217841470104224,1.0,0.8883002967719718,0.5743036548059893,0.796097024647096
2,Python__2012__2,20940.0,15846.0,89650.0,42212.0,0.0,Python,2012,2,0.7179100383982446,0.9351983002832861,0.9080412036990144,0.3577015312391428,0.729712768404922
3,PHP__2012__2,13371.0,13944.0,62896.0,22882.0,0.0,PHP,2012,2,0.4584133296763577,0.8229461756373938,0.6370569943988088,0.1939004652187545,0.5280792412328287
4,Java__2012__2,12817.0,7470.0,64086.0,17465.0,0.0,Java,2012,2,0.43941991223258364,0.44086402266288954,0.6491101905215286,0.1479971866552551,0.41934782801806425
5,C++__2012__2,10648.0,4743.0,46773.0,13109.0,0.0,C++,2012,2,0.3650575973669775,0.27992209631728043,0.47375138004031236,0.1110847477734749,0.3074539553745113
6,C__2012__2,5324.0,3187.0,50649.0,16515.0,0.0,C,2012,2,0.18252879868348876,0.188090179414542,0.5130103616971711,0.13994695319848485,0.25589407324842167
7,Objective-C__2012__2,3228.0,1505.0,10551.0,29909.0,0.0,Objective-C,2012,2,0.11066922654964345,0.08882200188857413,0.10686829604270275,0.2534467710089908,0.1399515738724778
8,C#__2012__2,3216.0,1877.0,12350.0,5393.0,0.0,C#,2012,2,0.11025781678551838,0.1107766761095373,0.12508989253410852,0.04569990424459151,0.09795607241843893
9,XSLT__2012__2,1828.0,172.0,786.0,158.0,0.0,XSLT,2012,2,0.06267142073505211,0.010151085930122757,0.007961186682737594,0.0013388809328102095,0.020530643570180668
10,HTML__2012__2,1644.0,1041.0,9627.0,11170.0,0.0,HTML,2012,2,0.056363137685134394,0.061437677053824365,0.09750934375917916,0.09465379759170911,0.07749098902246176
11,CSS__2012__2,1427.0,468.0,4961.0,7019.0,0.0,CSS,2012,2,0.04892347778387274,0.02762039660056657,0.05024866047463258,0.05947851435060038,0.04656776230241806
12,Shell__2012__2,1343.0,1365.0,11588.0,7051.0,0.0,Shell,2012,2,0.04604360943499726,0.08055949008498584,0.11737179552107284,0.05974968010914422,0.07593114378755005
13,Scala__2012__2,1099.0,1887.0,7152.0,4069.0,0.0,Scala,2012,2,0.037678277564454195,0.11136685552407932,0.07244072157116957,0.03448042098484014,0.0639915689111358
14,Haskell__2012__2,1076.0,577.0,7553.0,2252.0,0.0,Haskell,2012,2,0.03688974218321448,0.0340533522190746,0.076502344802439,0.01908329025752273,0.0416321823655627
15,CoffeeScript__2012__2,974.0,609.0,7126.0,5203.0,0.0,CoffeeScript,2012,2,0.0333927591881514,0.03594192634560907,0.0721773744289925,0.044089857553237466,0.046400479378997606
16,Perl__2012__2,731.0,603.0,7820.0,1571.0,0.0,Perl,2012,2,0.02506171146461876,0.03558781869688385,0.07920671737787276,0.01331254395851164,0.03829219787447175
17,Go__2012__2,658.0,310.0,3738.0,2222.0,0.0,Go,2012,2,0.022558968732857926,0.018295561850802645,0.037861216056072684,0.01882907235888788,0.024386204749655284
18,Erlang__2012__2,589.0,629.0,3210.0,2613.0,0.0,Erlang,2012,2,0.020193362589138782,0.037122285174693105,0.032513243322630635,0.022142378971095424,0.027992817514389486
19,Clojure__2012__2,522.0,388.0,3047.0,2306.0,0.0,Clojure,2012,2,0.017896324739440483,0.022898961284230405,0.030862259315905156,0.01954088247506546,0.022799606953660373
20,Emacs Lisp__2012__2,427.0,511.0,2861.0,951.0,0.0,Emacs Lisp,2012,2,0.014639330773450357,0.03015816808309726,0.028978314375715342,0.00805870738672474,0.020458630154746922
21,Groovy__2012__2,385.0,230.0,1836.0,714.0,0.0,Groovy,2012,2,0.013199396599012616,0.013574126534466479,0.018596359732196213,0.006050385987509428,0.012855067213296184
22,ActionScript__2012__2,369.0,73.0,934.0,866.0,0.0,ActionScript,2012,2,0.012650850246845858,0.004308309726156752,0.009460239645899381,0.007338423340592667,0.008439455739873664
23,Lua__2012__2,317.0,337.0,2038.0,792.0,0.0,Lua,2012,2,0.010868074602303894,0.0198890462700661,0.0206423644521873,0.006711352523960037,0.014527709462129333
